ts_day,num_accounts,rewards_hnt,date
1577059200,"1,093","143,750",12/23/2019
1577145600,"1,103","130,139",12/24/2019
1577232000,"1,102","148,125",12/25/2019
1577318400,"1,104","137,917",12/26/2019
1577404800,"1,108","142,326",12/27/2019
1577491200,"1,110","137,535",12/28/2019
1577577600,"1,124","149,236",12/29/2019
1577664000,"1,138","140,451",12/30/2019
1577750400,"1,148","137,500",12/31/2019
1577836800,"1,161","131,701",1/1/2020
1577923200,"1,167","111,528",1/2/2020
1578009600,"1,169","128,056",1/3/2020
1578096000,"1,179","144,479",1/4/2020
1578182400,"1,197","129,271",1/5/2020
1578268800,"1,218","99,931",1/6/2020
1578355200,"1,242","87,535",1/7/2020
1578441600,"1,239","66,146",1/8/2020
1578528000,"1,271","112,569",1/9/2020
1578614400,"1,160","137,708",1/10/2020
1578700800,"1,299","137,118",1/11/2020
1578787200,"1,317","75,035",1/12/2020
1578873600,"1,332","74,167",1/13/2020
1578960000,"1,339","66,319",1/14/2020
1579046400,"1,347","64,132",1/15/2020
1579132800,"1,356","65,694",1/16/2020
1579219200,"1,375","70,069",1/17/2020
1579305600,"1,408","147,674",1/18/2020
1579392000,"1,411","123,958",1/19/2020
1579478400,"1,426","125,000",1/20/2020
1579564800,"1,429","123,437",1/21/2020
1579651200,"1,438","114,653",1/22/2020
1579737600,"1,445","75,660",1/23/2020
1579824000,"1,450","102,257",1/24/2020
1579910400,"1,446","96,215",1/25/2020
1579996800,"1,443","74,931",1/26/2020
1580083200,"1,457","76,806",1/27/2020
1580169600,"1,469","92,361",1/28/2020
1580256000,"1,434","136,181",1/29/2020
1580342400,"1,473","113,472",1/30/2020
1580428800,"1,478","124,201",1/31/2020
1580515200,"1,473","137,396",2/1/2020
1580601600,"1,475","149,097",2/2/2020
1580688000,"1,476","138,229",2/3/2020
1580774400,"1,473","133,472",2/4/2020
1580860800,"1,479","145,382",2/5/2020
1580947200,"1,482","142,535",2/6/2020
1581033600,"1,482","126,632",2/7/2020
1581120000,"1,487","141,806",2/8/2020
1581206400,"1,483","116,285",2/9/2020
1581292800,"1,486","143,646",2/10/2020
1581379200,"1,484","113,507",2/11/2020
1581465600,"1,482","137,326",2/12/2020
1581552000,"1,479","144,514",2/13/2020
1581638400,"1,476","164,583",2/14/2020
1581724800,"1,477","166,875",2/15/2020
1581811200,"1,483","162,813",2/16/2020
1581897600,"1,477","150,417",2/17/2020
1581984000,"1,473","153,889",2/18/2020
1582070400,"1,478","166,354",2/19/2020
1582156800,"1,495","167,743",2/20/2020
1582243200,"1,496","152,326",2/21/2020
1582329600,"1,496","163,333",2/22/2020
1582416000,"1,493","153,507",2/23/2020
1582502400,"1,490","151,215",2/24/2020
1582588800,"1,497","147,049",2/25/2020
1582675200,"1,498","158,021",2/26/2020
1582761600,"1,501","155,764",2/27/2020
1582848000,"1,500","161,146",2/28/2020
1582934400,"1,492","140,694",2/29/2020
1583020800,"1,492","161,806",3/1/2020
1583107200,"1,495","160,625",3/2/2020
1583193600,"1,498","154,063",3/3/2020
1583280000,"1,499","136,806",3/4/2020
1583366400,"1,499","170,521",3/5/2020
1583452800,"1,504","153,368",3/6/2020
1583539200,"1,510","158,854",3/7/2020
1583625600,"1,515","154,444",3/8/2020
1583712000,"1,521","142,118",3/9/2020
1583798400,"1,521","157,500",3/10/2020
1583884800,"1,527","138,542",3/11/2020
1583971200,"1,528","161,319",3/12/2020
1584057600,"1,521","156,910",3/13/2020
1584144000,"1,526","127,917",3/14/2020
1584230400,"1,524","142,361",3/15/2020
1584316800,"1,526","148,542",3/16/2020
1584403200,"1,500","159,167",3/17/2020
1584489600,"1,405","164,757",3/18/2020
1584576000,"1,525","157,465",3/19/2020
1584662400,"1,491","159,340",3/20/2020
1584748800,"1,401","164,965",3/21/2020
1584835200,"1,440","154,271",3/22/2020
1584921600,"1,424","159,549",3/23/2020
1585008000,"1,379","163,333",3/24/2020
1585094400,"1,356","160,000",3/25/2020
1585180800,"1,514","164,653",3/26/2020
1585267200,"1,511","156,319",3/27/2020
1585353600,"1,499","152,951",3/28/2020
1585440000,"1,489","162,361",3/29/2020
1585526400,"1,481","155,278",3/30/2020
1585612800,"1,482","154,520",3/31/2020
1585699200,"1,487","152,014",4/1/2020
1585785600,"1,485","156,389",4/2/2020
1585872000,"1,494","154,167",4/3/2020
1585958400,"1,504","158,472",4/4/2020
1586044800,"1,494","149,028",4/5/2020
1586131200,"1,497","152,639",4/6/2020
1586217600,"1,488","144,549",4/7/2020
1586304000,"1,501","152,639",4/8/2020
1586390400,"1,516","152,778",4/9/2020
1586476800,"1,516","155,208",4/10/2020
1586563200,"1,515","159,201",4/11/2020
1586649600,"1,516","158,090",4/12/2020
1586736000,"1,512","157,361",4/13/2020
1586822400,"1,510","153,264",4/14/2020
1586908800,"1,511","151,736",4/15/2020
1586995200,"1,517","136,944",4/16/2020
1587081600,"1,520","147,674",4/17/2020
1587168000,"1,520","149,861",4/18/2020
1587254400,"1,516","138,611",4/19/2020
1587340800,"1,515","134,792",4/20/2020
1587427200,"1,515","141,944",4/21/2020
1587513600,"1,513","145,278",4/22/2020
1587600000,"1,513","160,347",4/23/2020
1587686400,"1,511","151,562",4/24/2020
1587772800,"1,504","142,535",4/25/2020
1587859200,"1,497","157,187",4/26/2020
1587945600,"1,497","148,750",4/27/2020
1588032000,"1,497","151,389",4/28/2020
1588118400,"1,504","161,111",4/29/2020
1588204800,"1,498","162,326",4/30/2020
1588291200,"1,491","145,521",5/1/2020
1588377600,"1,486","146,146",5/2/2020
1588464000,"1,481","148,681",5/3/2020
1588550400,"1,481","145,590",5/4/2020
1588636800,"1,486","148,125",5/5/2020
1588723200,"1,508","155,521",5/6/2020
1588809600,"1,498","156,562",5/7/2020
1588896000,"1,502","151,910",5/8/2020
1588982400,"1,493","147,257",5/9/2020
1589068800,"1,495","136,007",5/10/2020
1589155200,"1,494","155,833",5/11/2020
1589241600,"1,496","157,604",5/12/2020
1589328000,"1,502","159,410",5/13/2020
1589414400,"1,503","153,576",5/14/2020
1589500800,"1,493","154,375",5/15/2020
1589587200,"1,497","158,785",5/16/2020
1589673600,"1,494","143,229",5/17/2020
