,num_nodes,reg_hardware,reg_all,reg_cloud,reg_hardware_err_lower,reg_hardware_err_upper
1,1,21.913417182487336,35.71255577124508,26.456717433849832,1.1176801685322175,42.709154196442455
2,2,21.904327663860084,35.69428945168706,26.447610179693417,1.108590649904965,42.700064677815206
3,3,21.895241915495955,35.676032475017664,26.438506060547162,1.0995049015408362,42.69097892945108
4,4,21.886159935831092,35.65778483645813,26.42940507533191,1.0904229218759731,42.68189694978621
5,5,21.877081723302254,35.63954653123222,26.42030722296887,1.0813447093471353,42.67281873725737
6,6,21.868007276346862,35.62131755456608,26.411212502379588,1.0722702623917435,42.66374429030198
7,7,21.85893659340298,35.60309790168835,26.40212091248602,1.0631995794478613,42.6546736073581
8,8,21.84986967290934,35.58488756783005,26.39303245221048,1.0541326589542201,42.645606686864454
9,9,21.840806513305292,35.5666865482247,26.383947120475668,1.0450694993501735,42.636543527260415
10,10,21.831747113030858,35.54849483810822,26.37486491620461,1.0360100990757388,42.627484126985976
11,11,21.82269147052668,35.53031243271896,26.365785838320747,1.0269544565715627,42.6184284844818
12,12,21.813639584234085,35.51213932729775,26.35670988574789,1.0179025702789666,42.6093765981892
13,13,21.804591452595016,35.4939755170878,26.347637057410175,1.0088544386398972,42.60032846655014
14,14,21.795547074052067,35.47582099733481,26.338567352232158,0.999810060096948,42.591284088007185
15,15,21.786506447048488,35.45767576328684,26.329500769138757,0.9907694330933694,42.58224346100361
16,16,21.777469570028156,35.43953981019446,26.32043730705523,0.9817325560730374,42.57320658398328
17,17,21.76843644143563,35.42141313331061,26.31137696490723,0.9726994274805101,42.564173455390744
18,18,21.75940705971607,35.40329572789069,26.302319741620778,0.9636700457609528,42.55514407367119
19,19,21.750381423315318,35.38518758919251,26.293265636122275,0.9546444093601991,42.54611843727044
20,20,21.741359530679823,35.3670887124763,26.284214647338448,0.9456225167247041,42.53709654463494
21,21,21.73234138025672,35.34899909300476,26.275166774196443,1.0406027696767417,42.4240799908367
22,22,21.723326970493762,35.33091872604293,26.266122015623765,1.3120689897911646,42.13458495119636
23,23,21.71431629983935,35.31284760685836,26.257080370548252,1.563676443010106,41.8649561566686
24,24,21.70530936674252,35.29478573072096,26.248041837898153,1.7976995303953238,41.61291920308972
25,25,21.696306169652978,35.27673309290309,26.239006416602084,2.016063743765674,41.376548595540285
26,26,21.687306707021055,35.25868968867951,26.229974105588987,2.2204114937160284,41.15420192032608
27,27,21.67831097729772,35.240655513327425,26.220944903788222,2.412153395349737,40.944468559245706
28,28,21.66931897893459,35.222630562126405,26.211918810129493,2.59250865565053,40.74612930221865
29,29,21.66033071038392,35.2046148303585,26.202895823542892,2.762537193474042,40.5581242272938
30,30,21.65134617009863,35.18660831330811,26.19387594295884,2.9231654175230304,40.37952692267423
31,31,21.642365356532256,35.16861100626208,26.18485916730816,3.0752070888698384,40.209523624194674
32,32,21.63338826813898,35.15062290450968,26.17584549552205,3.219380337184699,40.04739619909326
33,33,21.624414903373616,35.13264400334255,26.166834926532037,3.3563216405108065,39.892508166236425
34,34,21.615445260691658,35.11467429805477,26.15782745927004,3.486597388082547,39.74429313330077
35,35,21.606479338549203,35.0967137839428,26.148823092668373,3.6107135044478795,39.60224517265053
36,36,21.597517135402995,35.078762456305554,26.139821825659652,3.729123507301008,39.46591076350498
37,37,21.588558649710418,35.06082031044428,26.130823657176915,3.842235291341673,39.33488200807916
38,38,21.579603879929515,35.0428873416627,26.12182858615356,3.950416869346739,39.20879089051229
39,39,21.57065282451895,35.024963545266885,26.112836611523313,4.05400125459099,39.08730439444692
40,40,21.561705481938027,35.007048916565324,26.103847732220316,4.1532906322612035,38.97012033161485
41,41,21.552761850646693,34.98914345086893,26.094861947179055,4.248559938993193,38.8569637623002
42,42,21.543821929105523,34.97124714349097,26.085879255334397,4.34005994722677,38.747583910984275
43,43,21.53488571577576,34.95335998974715,26.07689965562154,4.428019933306455,38.64175149824507
44,44,21.525953209119262,34.93548198495554,26.06792314697608,4.512649994096737,38.53925642414178
45,45,21.517024407598523,34.917613124436635,26.058949728333992,4.594143065531874,38.43990574966517
46,46,21.508099309676673,34.89975340351328,26.04997939863157,4.672676687371496,38.343521931981854
47,47,21.499177913817505,34.88190281751077,26.041012156805515,4.748414551019824,38.24994127661519
48,48,21.490260218485425,34.86406136175675,26.032048001792887,4.821507861228056,38.15901257574279
49,49,21.48134622214548,34.84622903158124,26.023086932531086,4.892096537558086,38.070595906732876
50,50,21.472435923263347,34.82840582231671,26.01412894795791,4.960310277422401,37.984561569104294
51,51,21.46352932030537,34.81059172929795,26.005174047011508,5.026269499160055,37.90078914145069
52,52,21.454626411738495,34.79278674786219,25.99622222863041,5.090086180826031,37.819166642650956
53,53,21.445727196030322,34.774990873349,25.987273491753466,5.151864608054915,37.73958978400573
54,54,21.436831671649067,34.757204101100385,25.97832783531995,5.211702042423134,37.661961300875
55,55,21.427939837063615,34.73942642646067,25.96938525826947,5.269689320109823,37.586190354017404
56,56,21.41905169074346,34.72165784477662,25.96044575954199,5.325911389288439,37.51219199219848
57,57,21.41016723115873,34.70389835139735,25.951509338077862,5.3804477935262796,37.43988666879118
58,58,21.40128645678021,34.68614794167434,25.9425759928178,5.433373107489503,37.36919980607092
59,59,21.392409366079278,34.66840661096149,25.93364572270286,5.484757330418759,37.3000614017398
60,60,21.383535957528004,34.65067435461503,25.924718526674482,5.534666242130747,37.23240567292526
61,61,21.374666229599047,34.63295116799361,25.915794403674482,5.58316172569333,37.166170733504764
