,service_domain,month,num_nodes_final,total_rewards,total_rewards_dollar,total_rewards_dollar_fixed,total_relays,avg_stake,rewards_per_node_final,rewards_per_node_final_fixed,active,cost_estimate_hardware,cost_estimate_all,cost_estimate_hardware_lower,cost_estimate_hardware_upper,cost_estimate_hardware_total,cost_estimate_all_total,cost_estimate_hardware_lower_total,cost_estimate_hardware_upper_total
0,a1deploy.tech,2023-01,2.0,28.110127,1.6466858469377987,0.8433038099999999,117845.0,18025.159744408946,0.8233429234688994,0.42165190499999994,1.0,21.904327663860084,35.69428945168706,1.108590649904965,42.700064677815206,43.80865532772017,71.38857890337412,2.21718129980993,85.40012935563041
1,aapokt.com,2023-01,39.0,40491.118793,2371.961970969047,1214.73356379,81445434.0,51457.66607830553,60.81953771715505,31.147014456153848,1.0,21.57065282451895,35.024963545266885,6.467293802114682,36.67401184692322,841.2554601562391,1365.9735782654086,252.2244582824726,1430.2864620300056
2,allchainedup.com,2023-01,12.0,1789.062577,104.80294254209402,53.67187731,1832497.0,60000.0,8.7335785451745,4.4726564425,1.0,21.813639584234085,35.51213932729775,6.710280561829816,36.91699860663836,261.76367501080904,426.14567192757306,80.52336674195779,443.0039832796603
3,althaea.xyz,2023-01,15.0,1231.003827,72.11196802658225,36.93011481,1682355.0,66051.21951219514,6.009330668881854,3.0775095675,1.0,21.786506447048488,35.45767576328684,6.683147424644218,36.88986546945276,326.7975967057273,531.8651364493026,100.24721136966328,553.3479820417914
4,angryinfra.com,2023-01,12.0,297.65929900000003,17.436824631661267,8.92977897,305994.0,67872.18045112783,1.7436824631661267,0.892977897,1.0,21.813639584234085,35.51213932729775,6.710280561829816,36.91699860663836,261.76367501080904,426.14567192757306,80.52336674195779,443.0039832796603
5,anonstake.com,2023-01,2.0,50.335096,2.9486202672601016,1.51005288,211492.0,17528.155339805824,1.4743101336300508,0.75502644,1.0,21.904327663860084,35.69428945168706,1.108590649904965,42.700064677815206,43.80865532772017,71.38857890337412,2.21718129980993,85.40012935563041
6,apes.capital,2023-01,1.0,22.300857,1.3063799248037455,0.66902571,93430.0,,1.3063799248037455,0.66902571,,21.913417182487336,35.71255577124508,1.1176801685322175,42.709154196442455,21.913417182487336,35.71255577124508,1.1176801685322175,42.709154196442455
7,bargsystems.com,2023-01,38.0,46464.865671,2721.902917062654,1393.94597013,54736609.0,83971.13057032829,71.62902413322774,36.68278868763158,1.0,21.579603879929515,35.0428873416627,6.476244857525245,36.682962902333784,820.0249474373215,1331.6297189831826,246.0973045859593,1393.9525902886837
8,bignodeapp.com,2023-01,75.0,154914.040268,9074.83475977422,4647.42120804,180134396.0,,120.99779679698959,61.965616107200006,,21.250875650139527,34.38577628289555,6.147516627735257,36.3542346725438,1593.8156737604645,2578.933221217166,461.06374708014425,2726.5676004407846
9,bitcat365.com,2023-01,1.0,394.955645,23.13642591474914,11.84866935,404156.0,,23.13642591474914,11.84866935,,21.913417182487336,35.71255577124508,1.1176801685322175,42.709154196442455,21.913417182487336,35.71255577124508,1.1176801685322175,42.709154196442455
10,blackholestake.io,2023-01,218.0,96140.953805,5631.918629958313,2884.22861415,415341511.0,18665.983606557376,25.834489128249142,13.230406486926604,1.0,20.026782145586473,31.959913059011697,8.836116554397156,31.21744773677579,4365.838507737852,6967.26104686455,1926.27340885858,6805.403606617122
11,blockchain.info,2023-01,2.0,24.813351,1.453561341320154,0.7444005300000001,103473.0,14866.600790513834,0.726780670660077,0.37220026500000003,1.0,21.904327663860084,35.69428945168706,1.108590649904965,42.700064677815206,43.80865532772017,71.38857890337412,2.21718129980993,85.40012935563041
12,blockspaces.global,2023-01,960.0,689899.33502,40414.170693331725,20696.9800506,1789634933.0,37485.72901822544,42.098094472220545,21.559354219375,1.0,14.720346971067261,21.864533964147615,8.699246339422789,20.741447602711734,14131.53309222457,20989.95260558171,8351.276485845878,19911.789698603265
13,blockzero.tech,2023-01,2.0,23.167248999999998,1.357133001952779,0.69501747,96166.0,18025.159744408946,0.6785665009763895,0.347508735,1.0,21.904327663860084,35.69428945168706,1.108590649904965,42.700064677815206,43.80865532772017,71.38857890337412,2.21718129980993,85.40012935563041
14,blokhub.org,2023-01,542.0,792427.126813,46420.22906735894,23772.81380439,1087141165.0,58714.88799121789,85.64617909106815,43.86128008190037,1.0,17.507859095487188,27.077954953509664,9.221991396189779,25.793726794784597,9489.259629754055,14676.251584802238,4998.31933673486,13980.199922773252
15,bunila.org,2023-01,1.0,95.389859,5.587919640373457,2.86169577,392765.0,,5.587919640373457,2.86169577,,21.913417182487336,35.71255577124508,1.1176801685322175,42.709154196442455,21.913417182487336,35.71255577124508,1.1176801685322175,42.709154196442455
16,bwtechnologies.app,2023-01,2.0,473.544725,27.740159144409127,14.20634175,837474.0,,13.870079572204563,7.103170875,,21.904327663860084,35.69428945168706,1.108590649904965,42.700064677815206,43.80865532772017,71.38857890337412,2.21718129980993,85.40012935563041
17,bwtechnologies3.com,2023-01,5.0,2010.022565,117.74673624957694,60.300676949999996,2066644.0,,23.54934724991539,12.06013539,,21.877081723302254,35.63954653123222,1.0813447093471353,42.67281873725737,109.38540861651127,178.1977326561611,5.406723546735677,213.36409368628688
18,c0d3r.org,2023-01,5956.0,2960612.381372,173432.10532894728,88818.37144116,11071841784.0,22406.445772014937,29.11888941050156,14.912419650967092,1.0,1.8524294815667477,1.69697872406752,0.5,3.3970937047539187,11033.06999221155,10107.20528054615,2978.0,20233.09010551434
